id,book_id,genre_id,created_at
248,83,11,2023-05-24 08:47:30.145125+00
249,83,25,2023-05-24 08:47:30.145125+00
250,84,5,2023-05-24 08:47:30.145125+00
251,84,11,2023-05-24 08:47:30.145125+00
252,84,21,2023-05-24 08:47:30.145125+00
253,85,5,2023-05-24 08:47:30.145125+00
254,85,11,2023-05-24 08:47:30.145125+00
255,86,5,2023-05-24 08:47:30.145125+00
256,86,11,2023-05-24 08:47:30.145125+00
257,86,13,2023-05-24 08:47:30.145125+00
258,87,11,2023-05-24 08:47:30.145125+00
259,87,5,2023-05-24 08:47:30.145125+00
260,87,13,2023-05-24 08:47:30.145125+00
261,88,19,2023-05-24 08:47:30.145125+00
